order_item_id,order_id,product_id,quantity,unit_price
OI00051,ORD00029,PROD0026,5,74.05
OI00052,ORD00030,PROD0024,5,41.19
OI00053,ORD00031,PROD0016,4,81.49
OI00054,ORD00031,PROD0004,5,4.31
OI00055,ORD00031,PROD0013,5,22.43
OI00056,ORD00032,PROD0005,2,72.65
OI00057,ORD00032,PROD0026,1,71.15
OI00058,ORD00033,PROD0003,2,34.27
OI00059,ORD00033,PROD0020,3,46.78
OI00060,ORD00034,PROD0029,5,96.37
OI00061,ORD00034,PROD0003,1,77.75
OI00062,ORD00035,PROD0028,3,95.93
OI00063,ORD00035,PROD0004,3,60.82
OI00064,ORD00035,PROD0017,2,44.94
OI00065,ORD00036,PROD0001,2,84.91
OI00066,ORD00036,PROD0005,5,25.82
OI00067,ORD00036,PROD0017,5,66.38
OI00068,ORD00037,PROD0021,1,42.01
OI00069,ORD00038,PROD0005,3,47.17
OI00070,ORD00038,PROD0026,5,71.5
OI00071,ORD00039,PROD0021,5,4.81
OI00072,ORD00040,PROD0008,2,67.35
OI00073,ORD00041,PROD0006,2,32.47
OI00074,ORD00042,PROD0005,2,13.46
OI00075,ORD00042,PROD0028,3,20.77
OI00076,ORD00042,PROD0007,5,89.21
OI00077,ORD00043,PROD0003,1,9.17
OI00078,ORD00044,PROD0007,1,10.51
OI00079,ORD00044,PROD0023,3,77.4
OI00080,ORD00045,PROD0020,1,99.66
OI00081,ORD00045,PROD0004,2,74.48
OI00082,ORD00046,PROD0023,5,65.27
OI00083,ORD00046,PROD0012,1,78.61
OI00084,ORD00046,PROD0028,2,92.22
OI00085,ORD00047,PROD0013,5,6.45
OI00086,ORD00047,PROD0022,1,17.56
OI00087,ORD00047,PROD0014,1,10.82
OI00088,ORD00048,PROD0014,5,29.17
OI00089,ORD00048,PROD0015,4,20.4
OI00090,ORD00049,PROD0030,2,96.17
OI00091,ORD00049,PROD0026,1,60.61
OI00092,ORD00049,PROD0011,2,14.87
OI00093,ORD00050,PROD0015,1,5.8
OI00094,ORD00050,PROD0016,5,90.06
OI00095,ORD00051,PROD0025,1,10.97
OI00096,ORD00051,PROD0029,1,88.22
OI00097,ORD00052,PROD0013,4,35.43
OI00098,ORD00053,PROD0005,1,81.9
OI00099,ORD00054,PROD0025,5,67.68
OI00100,ORD00054,PROD0010,5,79.85
OI00101,ORD00054,PROD0011,4,23.31
OI00102,ORD00055,PROD0022,2,100.68
OI00103,ORD00055,PROD0025,4,17.72
OI00104,ORD00056,PROD0028,3,8.83
OI00105,ORD00056,PROD0022,5,60.19
OI00106,ORD00057,PROD0027,3,12.52
OI00107,ORD00057,PROD0020,3,90.35
OI00108,ORD00058,PROD0015,2,50.01
OI00109,ORD00059,PROD0013,1,76.2
OI00110,ORD00060,PROD0015,1,16.88
OI00111,ORD00061,PROD0002,3,75.88
OI00112,ORD00061,PROD0020,3,6.78
OI00113,ORD00062,PROD0027,3,46.13
OI00114,ORD00062,PROD0010,3,48.32
OI00115,ORD00063,PROD0029,3,17.52
OI00116,ORD00064,PROD0001,5,48.91
OI00117,ORD00065,PROD0015,3,52.72
OI00118,ORD00065,PROD0015,3,70.29
OI00119,ORD00066,PROD0003,5,57.89
OI00120,ORD00066,PROD0024,1,94.91
OI00121,ORD00066,PROD0014,3,19.83
OI00122,ORD00067,PROD0018,2,8.85
OI00123,ORD00067,PROD0024,1,34.94
OI00124,ORD00068,PROD0016,1,72.87
OI00125,ORD00069,PROD0022,2,38.27
OI00126,ORD00069,PROD0023,1,98.47
OI00127,ORD00069,PROD0007,5,1.63
OI00128,ORD00070,PROD0028,4,93.57
OI00129,ORD00070,PROD0012,5,16.1
OI00130,ORD00070,PROD0005,2,53.09
OI00131,ORD00071,PROD0030,3,50.56
OI00132,ORD00072,PROD0002,2,83.43
OI00133,ORD00072,PROD0007,4,88.55
OI00134,ORD00072,PROD0010,3,83.28
OI00135,ORD00073,PROD0013,5,83.61
OI00136,ORD00074,PROD0003,3,11.12
OI00137,ORD00074,PROD0001,1,33.93
OI00138,ORD00074,PROD0002,4,16.71
OI00139,ORD00075,PROD0024,1,12.38
OI00140,ORD00075,PROD0008,1,73.07
OI00141,ORD00076,PROD0006,4,31.02
OI00142,ORD00076,PROD0024,3,6.65
OI00143,ORD00077,PROD0007,3,24.77
OI00144,ORD00077,PROD0026,4,77.81
OI00145,ORD00077,PROD0029,1,87.96
OI00146,ORD00078,PROD0026,4,68.48
OI00147,ORD00078,PROD0018,1,75.53
OI00148,ORD00079,PROD0023,1,75.49
OI00149,ORD00079,PROD0017,5,43.92
OI00150,ORD00080,PROD0022,1,2.41
OI00151,ORD00081,PROD0019,5,16.49
OI00152,ORD00081,PROD0008,3,23.09
OI00153,ORD00082,PROD0020,1,53.79
OI00154,ORD00082,PROD0019,4,19.83
OI00155,ORD00082,PROD0012,3,66.22
OI00156,ORD00083,PROD0004,1,8.51
OI00157,ORD00083,PROD0016,4,73.82
OI00158,ORD00084,PROD0008,4,90.32
OI00159,ORD00084,PROD0012,1,86.09
OI00160,ORD00085,PROD0018,1,66.5
OI00161,ORD00085,PROD0030,5,76.25
OI00162,ORD00085,PROD0014,2,98.99
OI00163,ORD00086,PROD0010,3,2.54
OI00164,ORD00086,PROD0025,4,28.13
OI00165,ORD00087,PROD0022,5,13.15
OI00166,ORD00087,PROD0005,4,52.59
OI00167,ORD00087,PROD0009,1,84.22
OI00168,ORD00088,PROD0013,2,51.4
OI00169,ORD00089,PROD0016,1,70.4
OI00170,ORD00089,PROD0017,4,25.36
OI00171,ORD00090,PROD0023,2,61.82
OI00172,ORD00090,PROD0010,5,70.92
OI00173,ORD00090,PROD0025,5,91.26
OI00174,ORD00091,PROD0014,5,6.29
OI00175,ORD00091,PROD0029,3,58.8
OI00176,ORD00092,PROD0028,5,63.95
OI00177,ORD00092,PROD0021,3,44.66
OI00178,ORD00092,PROD0007,5,1.74
OI00179,ORD00093,PROD0002,4,90.24
OI00180,ORD00093,PROD0023,2,44.74
OI00181,ORD00094,PROD0004,2,95.01
OI00182,ORD00095,PROD0009,3,83.41
OI00183,ORD00095,PROD0020,2,96.37
OI00184,ORD00095,PROD0010,1,62.23
OI00185,ORD00096,PROD0010,2,3.33
OI00186,ORD00096,PROD0011,4,65.42
OI00187,ORD00096,PROD0023,3,48.67
OI00188,ORD00097,PROD0007,4,67.24
OI00189,ORD00098,PROD0014,2,45.02
OI00190,ORD00099,PROD0003,4,56.66
OI00191,ORD00099,PROD0025,3,18.63
OI00192,ORD00100,PROD0027,2,86.97
OI00193,ORD00100,PROD0014,2,54.4
